COMPONENT;REPLICA_ID;CORRELATION_ID;PRODUCT_ID;QUANTITY;RESULT;OUTPUT_TYPE
BODEGA;4aec1aaf1d96;0;1;40;Y;OK
BODEGA;4aec1aaf1d96;1;0;58;N;OK
BODEGA;4aec1aaf1d96;2;1;15;Y;OK
BODEGA;4aec1aaf1d96;3;2;32;N;OK
BODEGA;4aec1aaf1d96;4;4;94;N;OK
BODEGA;4aec1aaf1d96;5;2;26;Y;OK
