COMPONENT;REPLICA_ID;CORRELATION_ID;PRODUCT_ID;QUANTITY;RESULT;OUTPUT_TYPE
BODEGA;500c100e66c8;0;1;40;Y;OK
BODEGA;500c100e66c8;1;0;58;N;OK
BODEGA;500c100e66c8;2;1;15;Y;OK
BODEGA;500c100e66c8;3;2;32;N;OK
BODEGA;500c100e66c8;4;4;94;N;OK
BODEGA;500c100e66c8;5;2;26;Y;OK
