COMPONENT;REPLICA_ID;CORRELATION_ID;PRODUCT_ID;QUANTITY;RESULT;OUTPUT_TYPE
BODEGA;35935097fd99;0;1;40;N;WRONG
BODEGA;35935097fd99;1;0;58;N;OK
BODEGA;35935097fd99;2;1;15;Y;OK
BODEGA;35935097fd99;3;2;32;Y;WRONG
BODEGA;35935097fd99;4;4;94;Y;WRONG
BODEGA;35935097fd99;5;2;26;N;WRONG
