TRANSPORT;None;200;60;d72aa950b3e18842316a2a750875a717;d72aa950b3e18842316a2a750875a717
TRANSPORT;None;400;60;d72aa950b3e18842316a2a750875a71;d72aa950b3e18842316a2a750875a717
TRANSPORT;None;200;60;d72aa950b3e18842316a2a750875a717;d72aa950b3e18842316a2a750875a717
TRANSPORT;None;403;;;;
COMPONENT;CORRELATION_ID;RESPONSE;STATE_TYPE;BODY;CHECKSUM_ORI;CHECKSUM_VAL
COMPONENT;CORRELATION_ID;RESPONSE;STATE_TYPE;BODY;CHECKSUM_ORI;CHECKSUM_VAL
